_id,Date,Mode,Category,Subcategory,Note,Amount,Income/Expense,Currency,userId
674e238a95f9be15a9c5cdbf,2018-09-20T12:04:08.000Z,Cash,Transportation,Train,2 Place 5 to Place 0,30,Expense,INR,12022024
674e238a95f9be15a9c5cdc0,2018-09-20T12:03:15.000Z,Cash,Food,snacks,Idli medu Vada mix 2 plates,60,Expense,INR,12032024
674e238a95f9be15a9c5cdc1,2018-09-19T00:00:00.000Z,Saving Bank account 1,subscription,Netflix,1 month subscription,199,Expense,INR,12032024
674e238a95f9be15a9c5cdc2,2018-09-17T23:41:17.000Z,Saving Bank account 1,subscription,Mobile Service Provider,Data booster pack,19,Expense,INR,12022024
674e238a95f9be15a9c5cdc3,2018-09-16T17:15:08.000Z,Cash,Festivals,Ganesh Pujan,Ganesh idol,251,Expense,INR,12022024
674e238a95f9be15a9c5cdc4,2018-09-15T06:34:17.000Z,Credit Card,subscription,Tata Sky,Permanent Residence - Tata Play recharge,200,Expense,INR,12032024
674e238a95f9be15a9c5cdc5,2018-09-14T05:39:17.000Z,Cash,Transportation,auto,Place 2 station to Permanent Residence,50,Expense,INR,12032024
674e238a95f9be15a9c5cdc6,2018-09-13T21:35:15.000Z,Saving Bank account 1,Transportation,Train,2 Place 0 to Place 3,40,Expense,INR,12032024
674e238a95f9be15a9c5cdc7,2018-09-13T21:01:47.000Z,Credit Card,Other,,HBR 2 Months subscription,83,Expense,INR,12032024
674e238a95f9be15a9c5cdc8,2018-09-13T21:01:32.000Z,Cash,Food,Grocery,1kg atta,46,Expense,INR,12032024
674e238a95f9be15a9c5cdc9,2018-09-13T00:00:00.000Z,Saving Bank account 1,Small Cap fund 2,,,5000,Transfer-Out,INR,12032024
674e238a95f9be15a9c5cdca,2018-09-13T00:00:00.000Z,Saving Bank account 1,Small cap fund 1,,,5000,Transfer-Out,INR,12032024
674e238a95f9be15a9c5cdcb,2018-09-12T00:00:00.000Z,Credit Card,subscription,Mobile Service Provider,Data booster pack,667,Expense,INR,12032024
674e238a95f9be15a9c5cdcc,2018-09-11T00:00:00.000Z,Saving Bank account 1,Food,Lunch,Home Food Delivery,650,Expense,INR,12032024
674e238a95f9be15a9c5cdcd,2018-09-11T00:00:00.000Z,Saving Bank account 1,Other,,From Family,3500,Income,INR,12032024
674e238a95f9be15a9c5cdce,2018-09-11T00:00:00.000Z,Cash,Food,Milk,Half lit  milk,36,Expense,INR,12022024
674e238a95f9be15a9c5cdcf,2018-09-10T00:00:00.000Z,Cash,Food,Milk,Half lit  milk,36,Expense,INR,12022024
674e238a95f9be15a9c5cdd0,2018-09-08T00:00:00.000Z,Cash,Family,Pocket money,,40,Expense,INR,12032024
674e238a95f9be15a9c5cdd1,2018-09-07T00:00:00.000Z,Cash,Food,Milk,Half lit  milk,37,Expense,INR,12022024
674e238a95f9be15a9c5cdd2,2018-09-07T00:00:00.000Z,Saving Bank account 1,Equity Mutual Fund E,,,1000,Transfer-Out,INR,12032024
674e238a95f9be15a9c5cdd3,2018-09-06T00:00:00.000Z,Cash,Food,snacks,Amul butter,55,Expense,INR,12022024
674e238a95f9be15a9c5cdd4,2018-09-05T00:00:00.000Z,Cash,Apparel,Laundry,11 clothes ironing,77,Expense,INR,12032024
674e238a95f9be15a9c5cdd5,2018-09-05T00:00:00.000Z,Cash,Food,snacks,Chinese Bhel,30,Expense,INR,12022024
674e238a95f9be15a9c5cdd6,2018-09-05T00:00:00.000Z,Cash,Food,snacks,Shev Puri,40,Expense,INR,12022024
674e238a95f9be15a9c5cdd7,2018-09-05T00:00:00.000Z,Cash,Food,snacks,2 kachori,24,Expense,INR,12032024
674e238a95f9be15a9c5cdd8,2018-09-05T00:00:00.000Z,Saving Bank account 1,Food,Milk,Half lit  milk,36,Expense,INR,12022024
674e238a95f9be15a9c5cdd9,2018-09-05T00:00:00.000Z,Saving Bank account 1,Food,breakfast,Bread,18,Expense,INR,12032024
674e238a95f9be15a9c5cdda,2018-09-03T00:00:00.000Z,Cash,Family,Pocket money,,2000,Expense,INR,12022024
674e238a95f9be15a9c5cddb,2018-09-01T00:00:00.000Z,Saving Bank account 1,Public Provident Fund,,,12500,Transfer-Out,INR,12022024
674e238a95f9be15a9c5cddc,2018-09-01T00:00:00.000Z,Equity Mutual Fund B,Saving Bank account 1,,,2000,Transfer-Out,INR,12032024
674e238a95f9be15a9c5cddd,2018-08-31T15:12:20.000Z,Cash,Family,Pocket money,,1000,Expense,INR,12022024
674e238a95f9be15a9c5cdde,2018-08-31T15:12:20.000Z,Cash,Gift,,farewell contribution,118,Expense,INR,12032024
674e238a95f9be15a9c5cddf,2018-08-31T10:01:15.000Z,Credit Card,Food,Dinner,Domino's Pizza,510.85,Expense,INR,12022024
674e238a95f9be15a9c5cde0,2018-08-31T09:27:28.000Z,Saving Bank account 1,Salary,,From workplace ,70255,Income,INR,12022024
674e238a95f9be15a9c5cde1,2018-08-31T09:26:17.000Z,Cash,Food,Milk,Half lit  milk,36,Expense,INR,12022024
674e238a95f9be15a9c5cde2,2018-08-30T21:10:24.000Z,Cash,Food,Sweets,Warna Srikhand pav kg,78,Expense,INR,12022024
674e238a95f9be15a9c5cde3,2018-08-30T21:09:51.000Z,Cash,Household,Kirana,Supermart,343,Expense,INR,12032024
674e238a95f9be15a9c5cde4,2018-08-29T12:21:49.000Z,Cash,Food,Grocery,Baking soda,27,Expense,INR,12032024
674e238a95f9be15a9c5cde5,2018-08-29T12:21:49.000Z,Cash,Food,Ice cream,chocobar,15,Expense,INR,12032024
674e238a95f9be15a9c5cde6,2018-08-29T12:11:41.000Z,Cash,Food,Milk,Half lit  milk,36,Expense,INR,12032024
674e238a95f9be15a9c5cde7,2018-08-28T21:04:56.000Z,Saving Bank account 1,Dividend earned on Shares,,Astral Stocks,6.75,Income,INR,12032024
674e238a95f9be15a9c5cde8,2018-08-28T19:16:09.000Z,Saving Bank account 1,Dividend earned on Shares,,Reliance Stocks,18,Income,INR,12022024
674e238a95f9be15a9c5cde9,2018-08-27T21:30:16.000Z,Cash,Food,curd,Dahi 2 packets,20,Expense,INR,12022024
674e238a95f9be15a9c5cdea,2018-08-27T10:52:51.000Z,Cash,Food,breakfast,2 plates poha,60,Expense,INR,12022024
