Date,Mode,Category,Subcategory,Note,Amount,Income/Expense,Currency
2018-09-20T12:04:08Z,Cash,Transportation,Train,2 Place 5 to Place 0,30.0,Expense,INR
2018-09-20T12:03:15Z,Cash,Food,snacks,Idli medu Vada mix 2 plates,60.0,Expense,INR
2018-09-19T00:00:00Z,Saving Bank account 1,subscription,Netflix,1 month subscription,199.0,Expense,INR
2018-09-17T23:41:17Z,Saving Bank account 1,subscription,Mobile Service Provider,Data booster pack,19.0,Expense,INR
2018-09-16T17:15:08Z,Cash,Festivals,Ganesh Pujan,Ganesh idol,251.0,Expense,INR
2018-09-15T06:34:17Z,Credit Card,subscription,Tata Sky,Permanent Residence - Tata Play recharge,200.0,Expense,INR
2018-09-14T05:39:17Z,Cash,Transportation,auto,Place 2 station to Permanent Residence,50.0,Expense,INR
2018-09-13T21:35:15Z,Saving Bank account 1,Transportation,Train,2 Place 0 to Place 3,40.0,Expense,INR
2018-09-13T21:01:47Z,Credit Card,Other,,HBR 2 Months subscription,83.0,Expense,INR
2018-09-13T21:01:32Z,Cash,Food,Grocery,1kg atta,46.0,Expense,INR
2018-09-13T00:00:00Z,Saving Bank account 1,Small Cap fund 2,,,5000.0,Transfer-Out,INR
2018-09-13T00:00:00Z,Saving Bank account 1,Small cap fund 1,,,5000.0,Transfer-Out,INR
2018-09-12T00:00:00Z,Credit Card,subscription,Mobile Service Provider,Data booster pack,667.0,Expense,INR
2018-09-11T00:00:00Z,Saving Bank account 1,Food,Lunch,Home Food Delivery,650.0,Expense,INR
2018-09-11T00:00:00Z,Saving Bank account 1,Other,,From Family,3500.0,Income,INR
2018-09-11T00:00:00Z,Cash,Food,Milk,Half lit  milk,36.0,Expense,INR
2018-09-10T00:00:00Z,Cash,Food,Milk,Half lit  milk,36.0,Expense,INR
2018-09-08T00:00:00Z,Cash,Family,Pocket money,,40.0,Expense,INR
2018-09-07T00:00:00Z,Cash,Food,Milk,Half lit  milk,37.0,Expense,INR
2018-09-07T00:00:00Z,Saving Bank account 1,Equity Mutual Fund E,,,1000.0,Transfer-Out,INR
2018-09-06T00:00:00Z,Cash,Food,snacks,Amul butter,55.0,Expense,INR
2018-09-05T00:00:00Z,Cash,Apparel,Laundry,11 clothes ironing,77.0,Expense,INR
2018-09-05T00:00:00Z,Cash,Food,snacks,Chinese Bhel,30.0,Expense,INR
2018-09-05T00:00:00Z,Cash,Food,snacks,Shev Puri,40.0,Expense,INR
2018-09-05T00:00:00Z,Cash,Food,snacks,2 kachori,24.0,Expense,INR
2018-09-05T00:00:00Z,Saving Bank account 1,Food,Milk,Half lit  milk,36.0,Expense,INR
2018-09-05T00:00:00Z,Saving Bank account 1,Food,breakfast,Bread,18.0,Expense,INR
2018-09-03T00:00:00Z,Cash,Family,Pocket money,,2000.0,Expense,INR
2018-09-01T00:00:00Z,Saving Bank account 1,Public Provident Fund,,,12500.0,Transfer-Out,INR
2018-09-01T00:00:00Z,Equity Mutual Fund B,Saving Bank account 1,,,2000.0,Transfer-Out,INR
2018-08-31T15:12:20Z,Cash,Family,Pocket money,,1000.0,Expense,INR
2018-08-31T15:12:20Z,Cash,Gift,,farewell contribution,118.0,Expense,INR
2018-08-31T10:01:15Z,Credit Card,Food,Dinner,Domino's Pizza,510.85,Expense,INR
2018-08-31T09:27:28Z,Saving Bank account 1,Salary,,From workplace ,70255.0,Income,INR
2018-08-31T09:26:17Z,Cash,Food,Milk,Half lit  milk,36.0,Expense,INR
2018-08-30T21:10:24Z,Cash,Food,Sweets,Warna Srikhand pav kg,78.0,Expense,INR
2018-08-30T21:09:51Z,Cash,Household,Kirana,Supermart,343.0,Expense,INR
2018-08-29T12:21:49Z,Cash,Food,Grocery,Baking soda,27.0,Expense,INR
2018-08-29T12:21:49Z,Cash,Food,Ice cream,chocobar,15.0,Expense,INR
2018-08-29T12:11:41Z,Cash,Food,Milk,Half lit  milk,36.0,Expense,INR
2018-08-28T21:04:56Z,Saving Bank account 1,Dividend earned on Shares,,Astral Stocks,6.75,Income,INR
2018-08-28T19:16:09Z,Saving Bank account 1,Dividend earned on Shares,,Reliance Stocks,18.0,Income,INR
2018-08-27T21:30:16Z,Cash,Food,curd,Dahi 2 packets,20.0,Expense,INR
2018-08-27T10:52:51Z,Cash,Food,breakfast,2 plates poha,60.0,Expense,INR
2018-08-27T10:52:30Z,Cash,Food,Biscuits,Khari packet,45.0,Expense,INR
2018-08-27T10:52:09Z,Cash,Food,Milk,Half lit  milk,36.0,Expense,INR
2018-08-26T21:04:46Z,Saving Bank account 1,Interest,,interest paid,30.0,Income,INR
2018-08-25T21:04:46Z,Cash,Apparel,Laundry,13 clothes ironing,91.0,Expense,INR
2018-08-24T22:13:43Z,Credit Card,Food,Dinner,Home Food Delivery,1120.0,Expense,INR
2018-08-24T22:12:17Z,Saving Bank account 1,Other,,From Family,1000.0,Income,INR
2018-08-24T20:20:37Z,Cash,Food,Rajgira ladu,,20.0,Expense,INR
2018-08-24T20:17:09Z,Cash,Food,Milk,Half lit  milk,36.0,Expense,INR
2018-08-24T13:34:14Z,Cash,Festivals,Navratri,Ganpati+ navratri vargani,1000.0,Expense,INR
2018-08-23T21:29:52Z,Credit Card,Transportation,train,2 Place 2 to Place 3 : Sevagram express 3AC,1305.4,Expense,INR
2018-08-23T21:29:12Z,Credit Card,Transportation,train,2 Place 3 to Place 2 : Amritsar express 3AC,1205.4,Expense,INR
2018-08-23T19:55:33Z,Saving Bank account 1,Food,Lunch,Catering Service,60.0,Expense,INR
2018-08-22T22:31:36Z,Cash,Food,Milk,Half lit  milk,37.0,Expense,INR
2018-08-22T00:00:00Z,Saving Bank account 1,Life Insurance,,,11043.0,Transfer-Out,INR
2018-08-21T16:15:46Z,Cash,Food,Tea,cutting chai,12.0,Expense,INR
2018-08-21T16:15:20Z,Cash,Food,Milk,Half lit  milk,36.0,Expense,INR
2018-08-19T00:00:00Z,Saving Bank account 1,subscription,Netflix,1 month subscription,199.0,Expense,INR
2018-08-17T20:06:32Z,Saving Bank account 1,Food,curd,Dahi 2 packets,20.0,Expense,INR
2018-08-17T19:21:17Z,Cash,Food,Milk,Half lit  milk,36.0,Expense,INR
2018-08-17T12:40:28Z,Saving Bank account 1,Dividend earned on Shares,,Pidilite Stocks,22.0,Income,INR
2018-08-16T19:08:01Z,Credit Card,subscription,Tata Sky,Permanent Residence - Tata Play recharge,157.0,Expense,INR
2018-08-15T09:44:05Z,Cash,Food,Sweets,Warna Srikhand half kg,290.0,Expense,INR
2018-08-15T09:11:44Z,Cash,Food,flour mill,M D sure 4kg atta,216.0,Expense,INR
2018-08-14T10:59:46Z,Saving Bank account 1,Dividend earned on Shares,,ITC Stocks,124.0,Income,INR
2018-08-14T10:04:52Z,Cash,Family,Pocket money,,30.0,Expense,INR
2018-08-14T09:51:30Z,Cash,Food,snacks,Dahi,32.0,Expense,INR
2018-08-14T09:50:12Z,Cash,Household,Kirana,Toothpaste Patanjali,160.0,Expense,INR
2018-08-14T09:48:42Z,Cash,Apparel,Laundry,8 clothes ironing,56.0,Expense,INR
2018-08-14T09:46:54Z,Cash,Food,Ice cream,Vanila family pack,115.0,Expense,INR
2018-08-13T18:37:27Z,Cash,Household,Appliances,5 litres can Distilled water,100.0,Expense,INR
2018-08-13T18:36:01Z,Cash,Household,home decor,Brass Puja plate and diva,220.0,Expense,INR
2018-08-13T18:35:18Z,Cash,Food,Grocery,Half kg Lahsoon,45.0,Expense,INR
2018-08-13T18:33:36Z,Cash,Household,Kirana,Supermart,594.0,Expense,INR
2018-08-13T10:04:36Z,Cash,Food,Ice cream,Vanila cup,10.0,Expense,INR
2018-08-13T10:04:23Z,Cash,Food,Ice cream,chocobar,20.0,Expense,INR
2018-08-13T00:00:00Z,Saving Bank account 1,Small Cap fund 2,,,5000.0,Transfer-Out,INR
2018-08-13T00:00:00Z,Saving Bank account 1,Small cap fund 1,,,5000.0,Transfer-Out,INR
2018-08-11T00:00:00Z,Cash,Food,snacks,8 kachori,96.0,Expense,INR
2018-08-10T00:00:00Z,Cash,Family,Pocket money,,35.0,Expense,INR
2018-08-07T00:00:00Z,Saving Bank account 1,Equity Mutual Fund E,,,1000.0,Transfer-Out,INR
2018-08-06T00:00:00Z,Cash,Beauty,grooming,hair cut,100.0,Expense,INR
2018-08-05T00:00:00Z,Cash,Family,Pocket money,,100.0,Expense,INR
2018-08-05T00:00:00Z,Cash,Food,Tea,cutting chai,10.0,Expense,INR
2018-08-05T00:00:00Z,Credit Card,Health,Health,eyewear Glasses payment remaining,4300.0,Expense,INR
2018-08-05T00:00:00Z,Credit Card,Apparel,Clothing,For Family,3410.0,Expense,INR
2018-08-05T00:00:00Z,Cash,Transportation,Train,Place 0 to Place 4 return,20.0,Expense,INR
2018-08-05T00:00:00Z,Cash,Transportation,auto,Current Residence to Place 0,15.0,Expense,INR
2018-08-05T00:00:00Z,Credit Card,Family,clothes,Bows,398.0,Expense,INR
2018-08-03T00:00:00Z,Saving Bank account 1,Other,,From Family,100.0,Income,INR
2018-08-03T00:00:00Z,Cash,Family,Pocket money,,2000.0,Expense,INR
2018-08-03T00:00:00Z,Saving Bank account 1,Dividend earned on Shares,,Redington Stocks,180.0,Income,INR
2018-08-02T00:00:00Z,Cash,Household,Kirana,Supermart,18.0,Expense,INR
2018-08-02T00:00:00Z,Cash,Food,flour mill,M D sure 4kg atta,216.0,Expense,INR
2018-08-02T00:00:00Z,Cash,Health,Health,eyewear Glasses advance,1000.0,Expense,INR
2018-08-01T00:00:00Z,Cash,Family,Pocket money,,40.0,Expense,INR
2018-08-01T00:00:00Z,Saving Bank account 1,Public Provident Fund,,,12500.0,Transfer-Out,INR
